time,domain,iface,event,step,txid,ip,mac,ssid,snr,hops,note
37.888751,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-24.277042,1,native PHY beacon; role=peer
37.991151,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-43.356564,1,native PHY beacon; role=peer
38.093551,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-49.779307,0,native PHY beacon; role=gateway
38.195960,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-50.980341,1,native PHY beacon; role=peer
38.298432,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-25.903355,1,native PHY beacon; role=peer
38.400742,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-44.057736,1,native PHY beacon; role=peer
38.503160,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-51.342113,1,native PHY beacon; role=peer
38.605605,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-44.403843,1,native PHY beacon; role=peer
38.606348,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-50.309392,0,native PHY beacon; role=gateway
38.707942,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-50.413777,0,native PHY beacon; role=gateway
38.810378,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-28.503987,1,native PHY beacon; role=peer
38.912760,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-44.915794,1,native PHY beacon; role=peer
39.015160,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-50.727862,0,native PHY beacon; role=gateway
39.117551,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0d,Adhoc-C,-45.252012,1,native PHY beacon; role=peer
39.219942,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-30.594956,1,native PHY beacon; role=peer
39.322342,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-31.097813,1,native PHY beacon; role=peer
39.323085,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-52.267554,1,native PHY beacon; role=peer
39.424742,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-31.590622,1,native PHY beacon; role=peer
39.527142,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-32.072903,1,native PHY beacon; role=peer
39.629632,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-52.599379,1,native PHY beacon; role=peer
